combination,fold,epoch,train_loss,val_loss
1,1,1,0.11234802161417311,0.10841260990127921
1,1,2,0.03614434428394787,0.03563669265713543
1,1,3,0.02634750602264253,0.02613208454567939
1,1,4,0.021299368982750273,0.021436098613776267
1,1,5,0.018291920083501036,0.01796619687229395
1,1,6,0.015947278751622117,0.016008876031264663
1,1,7,0.01400683829117389,0.014127501344773918
1,1,8,0.012310333889983004,0.0128201775951311
1,1,9,0.011468726964223953,0.012105198868084699
1,1,10,0.010367132006360897,0.011363734898623079
1,1,11,0.009362349064931982,0.009752623678650707
1,1,12,0.008994504735465087,0.009317501389887184
1,1,13,0.008399121130683593,0.008518994640326127
1,1,14,0.007516557424669228,0.00787867369945161
1,1,15,0.007487655595122348,0.007276971795363352
1,1,16,0.007025161440232916,0.008079328457824886
1,1,17,0.006862489720954309,0.007109839090844616
1,1,18,0.006694414482880679,0.007013393624220043
1,1,19,0.0062051124442073086,0.006648586218943819
1,1,20,0.006089187885028502,0.006391059170709923
1,1,21,0.00582168995594931,0.006514579203212634
1,1,22,0.00575350230515358,0.006131873349659145
1,1,23,0.005527717042862187,0.006232107465621084
1,1,24,0.005124868322459478,0.005447197414468974
1,1,25,0.005363398896796363,0.005662649724399671
1,2,1,0.10875804237430058,0.11260294215753675
1,2,2,0.04617488520249488,0.04651925340294838
1,2,3,0.031813647864120345,0.03242850198876113
1,2,4,0.02333750176642622,0.02437889075372368
1,2,5,0.01633347012102604,0.017696004768367857
1,2,6,0.013034989998217613,0.01375794253544882
1,2,7,0.011318334200907321,0.01179049932397902
1,2,8,0.009926573654252386,0.010733670729678124
1,2,9,0.008727364012941954,0.009549013513606042
1,2,10,0.008189788635169703,0.008717337244888768
1,2,11,0.007461938659645735,0.007740018889307976
1,2,12,0.006778692723148399,0.007378329843049869
1,2,13,0.006564764379863701,0.006815284839831293
1,2,14,0.006219678041007783,0.006884872767841443
1,2,15,0.005795533325345744,0.006585610506590456
1,2,16,0.005318198770669008,0.00609366234857589
1,2,17,0.0054126242693099715,0.006133856863016263
1,2,18,0.005126433768531396,0.005669191596098244
1,2,19,0.004888406585133265,0.0054387217096518725
1,2,20,0.004867400900120773,0.005644321601721458
1,2,21,0.0044892830958974264,0.00477443372074049
1,2,22,0.00428461723975719,0.004541674861684442
1,2,23,0.004130838132123389,0.004576827588607557
1,2,24,0.004043973047315838,0.004380655329441652
1,2,25,0.004006098009764202,0.004283846225007437
1,3,1,0.08696129137561434,0.09422667045146227
1,3,2,0.03977168321846023,0.043709094636142254
1,3,3,0.02914959555935292,0.032180114183574915
1,3,4,0.02259704512026575,0.023632158525288105
1,3,5,0.018159076645379028,0.019391288049519062
1,3,6,0.015696502734153045,0.01629829063313082
1,3,7,0.012621859931165264,0.014594350010156631
1,3,8,0.011356172676656454,0.012380134488921613
1,3,9,0.010932574580822672,0.010245571087580174
1,3,10,0.009249751153032459,0.009335503244074062
1,3,11,0.008742069382043112,0.00906087420298718
1,3,12,0.008369048510397237,0.008395596960326657
1,3,13,0.007963893299419728,0.008736583957215771
1,3,14,0.007537363318815118,0.00777647623908706
1,3,15,0.006941015514293833,0.007257252960698679
1,3,16,0.0069541602232863035,0.0076194653229322284
1,3,17,0.0065158625236815875,0.007198302948381752
1,3,18,0.006336050884177287,0.006928591028554365
1,3,19,0.005673384700443537,0.006412930495571345
1,3,20,0.005679021885115949,0.006082980718929321
1,3,21,0.005616595015107166,0.006383204425219446
1,3,22,0.005287952987211091,0.005769562383648008
1,3,23,0.0051166824405155485,0.005580354132689536
1,3,24,0.004962533050852399,0.00526844325941056
1,3,25,0.0047211268924117564,0.005440894776256755
1,4,1,0.21404593828178586,0.21449052263051271
1,4,2,0.06913421580952311,0.07399469939991832
1,4,3,0.04890697597274705,0.04773433739319444
1,4,4,0.036467949549357094,0.03735853743273765
1,4,5,0.035433178383206566,0.037149495095945895
1,4,6,0.026781577173443066,0.023835292318835855
1,4,7,0.022941737820113463,0.023641133098863065
1,4,8,0.02156365445504586,0.020394236024003476
1,4,9,0.018047629515566523,0.018223964027129114
1,4,10,0.017685660974137367,0.020404400653205812
1,4,11,0.015119683707044237,0.015621297527104616
1,4,12,0.013493671451532652,0.013552624499425292
1,4,13,0.01386607067275142,0.012303607363719493
1,4,14,0.014335909296595862,0.014042190974578261
1,4,15,0.012259123373835806,0.013473282393533736
1,4,16,0.010567485184837428,0.011325044790282845
1,4,17,0.009808282212664684,0.010093207063619047
1,4,18,0.009971197228878736,0.012008746212814003
1,4,19,0.008687450336144558,0.009426415548659861
1,4,20,0.008324509272204033,0.008942025771830231
1,4,21,0.007897480442706082,0.007615896320203319
1,4,22,0.008003161761850591,0.008428801578702405
1,4,23,0.006642595487868502,0.008096092235064134
1,4,24,0.007313101108939875,0.008458698721369728
1,4,25,0.006175067490114579,0.007313253649044782
1,5,1,0.10168922562447805,0.10645812749862671
1,5,2,0.046062235498712176,0.047265197383239865
1,5,3,0.030097216249458374,0.03231931570917368
1,5,4,0.022302350206744103,0.023264078423380852
1,5,5,0.017486368941645774,0.01663740782532841
1,5,6,0.015082516633565463,0.013784979935735464
1,5,7,0.012618032875396902,0.01234982255846262
1,5,8,0.011346041091850825,0.0107309686136432
1,5,9,0.010269534692818683,0.010056963539682329
1,5,10,0.009416893545892976,0.009435528743779287
1,5,11,0.008890175371475163,0.008322858950123191
1,5,12,0.008243877152424483,0.007771964970743284
1,5,13,0.007848056609786692,0.007645396573934704
1,5,14,0.00736004633769866,0.006876168510643765
1,5,15,0.006809832912588876,0.006871589837828651
1,5,16,0.006306805322685885,0.006207713740877807
1,5,17,0.006249609240700328,0.006017746141878888
1,5,18,0.006226817552473337,0.006122867838712409
1,5,19,0.005663136611618693,0.005906997510464862
1,5,20,0.005217678479052016,0.005497795267729089
1,5,21,0.005049159924041421,0.005618543480522931
1,5,22,0.0050777792893645785,0.005276911513647065
1,5,23,0.004960748673756681,0.00471447549352888
1,5,24,0.0050843872928193635,0.0051661377074196935
1,5,25,0.00496340970257445,0.005000082805054262
2,1,1,0.18462559155055455,0.18777794111520052
2,1,2,0.06832938073646455,0.06885470543056726
2,1,3,0.048772398796346456,0.049335496267303824
2,1,4,0.037776366970132265,0.037193707190454006
2,1,5,0.03145714003651861,0.0342762361979112
2,1,6,0.02647357543427793,0.027974576107226312
2,1,7,0.022581129068774835,0.02279339625965804
2,1,8,0.018853466159531047,0.019889135495759547
2,1,9,0.016978185889976367,0.018385969917289913
2,1,10,0.015587170756170674,0.01704952772706747
2,1,11,0.013891698556050422,0.014932791236788034
2,1,12,0.012997069543907567,0.01333030458772555
